city_id,city,country,date_time,latitude,longitude,temperature (F),humidity (%),cloudiness (%),wind speed (mph)
2019135,Nizhniy Kuranakh,RU,1597380120,58.84,125.49,60.85,44,98,10.76
3374083,Bathsheba,BB,1597379695,13.22,-59.52,82.4,69,20,17.22
3151288,Hvittingfoss,NO,1597380121,59.48,10.02,55.99,88,0,2.98
921900,Dzaoudzi,YT,1597380121,-12.79,45.27,77.0,65,0,17.22
3407903,Almeirim,BR,1597380121,-1.52,-52.58,77.29,74,45,6.67
368246,Raja,SS,1597380121,8.46,25.68,69.76,93,6,2.28
5807212,Port Angeles,US,1597380121,48.12,-123.43,55.4,76,1,5.82
3203982,Bjelovar,HR,1597380121,45.9,16.85,66.2,93,32,3.85
2030065,Mandalgovi,MN,1597379699,45.76,106.27,74.19,36,0,4.54
3894426,Coyhaique,CL,1597380121,-45.58,-72.07,30.2,86,22,2.24
3573374,The Valley,AI,1597379691,18.22,-63.06,84.2,74,40,9.17
699413,Novomykolayivka,UA,1597380122,47.98,35.91,61.0,76,63,6.71
108410,Riyadh,SA,1597379568,24.69,46.72,86.0,25,70,5.82
3456248,Nortelândia,BR,1597380122,-14.45,-56.8,75.06,40,0,4.43
155405,Mafinga,TZ,1597380122,-7.25,35.07,64.49,67,24,2.17
3445026,Vila Velha,BR,1597379680,-20.33,-40.29,71.6,78,0,6.93
95446,Erbil,IQ,1597380122,36.19,44.01,82.4,28,0,3.36
4172086,Sanford,US,1597380123,28.8,-81.27,78.8,83,1,4.7
5554428,Ketchikan,US,1597379672,55.34,-131.65,53.6,100,90,9.17
3148133,Larsnes,NO,1597380123,62.2,5.58,57.2,93,90,8.05
3133472,Hellvik,NO,1597380123,59.92,5.78,64.0,89,75,2.55
656820,Iisalmi,FI,1597380123,63.56,27.19,57.2,76,100,5.82
454310,Ventspils,LV,1597380123,57.39,21.56,50.0,100,100,3.76
675223,Jimbolia,RO,1597380123,45.79,20.72,72.0,82,27,9.17
2216432,Jadu,LY,1597380123,31.95,12.03,68.63,51,0,9.53
2193733,Auckland,NZ,1597380123,-36.87,174.77,57.0,62,100,11.41
